WorldGross,ForeignGross
208.08,81.7
97.98,60.57
467.37,238.59
321.884,173.47
373.1,193.2
286.14,193.09
49.778,17.77
37.47,16.66
149.88,94.78
199.94,99.92
88.06,20.51
201.584,101.34
50.507,25.4
37.93,22.9
40.49,3.19
142.04,87.5
43.17,15.3
267.04,162.64
127.87,65.37
586.09,417.72
71.35,0
76.69,35.1
33.38,15.64
269.78,175
51.41,21.31
219.1,106.37
95.41,23.12
232.161,130.101
77.52,22.13
98.34,56.31
96.05,63
16.874,13.784
101.33,37.92
91.26,12.1
91.35,45.55
67.92,27.75
54.93,26.36
47.09,3.24
55.049,17.32
49.831,22.05
39.41,6.02
79.179,26.15
22.46,0.89
370.57,193.92
63.54,11.74
105.96,59.95
122.13,61.12
159.31,63.64
212.87,102.77
93.24,64.23
266.46,136.3
133.38,108.24
293.502,175.19
200.28,117.2
34.5,20.8
40.12,6.26
40.12,6.26
415.685,311.3
268.43,160.91
214.95,111.92
177.584,97.7
222.23,142.06
202.55,83.68
100.08,52.07
211.34,161.79
299.27,213.8
32.73,7.4
54.59,22.75
95.61,41.46
54.803,15.68
413,235.8
385.65,127.95
68.94,36.54
179.38,119.73
96.75,47.26
401.13,298.64
152.263,53.55
624.03,445.01
69.47,37.41
278.346,210.72
559.85,368.4
84.03,48.76
70.24,53.26
84.37,42.52
70.44,22.21
253.62,85.35
84.65,46.41
540.01,337.65
471.22,281.8
142.85,58.5
171.83,62.63
373.993,296.402
288.347,193
230.69,100.37
375.74,253.22
521.31,297.5
538.98,301.7
183.95,75.87
35.49,27.57
668.05,377
38.8,0.87
35.93,19.8
449.32,268.29
494.88,277.3
226.9,143.4
211.82,128.27
90.8,48.7
18.2,4.96
60.67,0.58
76.18,35.96
152.52,99.63
24.42,6.87
305.43,220.4
168.17,98.22
175,110
117.09,58.39
15.42,1.86
246.98,113.32
77.28,25.7
403.35,276.88
310.649,162.21
130.8,78.75
623.93,311.5
50.01,23.11
585.52,266.76
631.74,416.31
126.57,32.45
85.56,47.03
57.2,13.33
127.232,75.23
57.29,31.7
223.24,125.55
96.188,48.12
43.31,29.46
963.42,654
128.88,87.09
40.42,31.37
485.9,352.6
64.82,34.76
40.82,20.29
752.22,490.19
65.57,39.15
49.22,32.21
92.38,25.09
257.77,138.9
115.67,52.59
92.6,49.49
347.55,276.53
165.5,41.7
304.65,237.3
16.57,4.51
86.18,36.3
132.82,37.1
10,0.15
116.98,50.6
351.04,206.2
274.469,171.4
33.51,2.02
57.1,21.32
60.73,42.4
118.2,43.97
271.43,109.43
67.875,32.27
163.4,98.9
187.36,119.14
136.333,69.27
204.59,124.02
102.802,70.44
199.006,108.63
41.32,9.63
72.42,19.72
890.87,554.34
414.83,282.27
83.188,58.19
26.09,13.52
95.71,46.51
383.53,249
297.14,142.61
56.034,36.96
77.11,28.1
105.17,42
35.06,20.46
45.58,19.9
362,249.8
457.36,237.4
160.08,151.77
35.62,18.01
108.61,85.4
43.49,5.38
39.95,2.18
108.98,77.26
218.34,138.27
145.9,95.32
311.31,194.16
73.28,57.48
165.18,76.55
183.58,103.63
294.802,166.79
73.82,5.56
240.16,197.81
743.56,475.07
92.99,43.96
632.91,428.4
55.86,0.66
11.18,3.06
934,632
56.25,37.9
847.33,595
151.16,78.9
114.28,50.75
115.15,55.95
80.63,56.481
769.69,603.57
96.26,29.73
175.37,81.91
585.35,328.96
101.62,14.28
78.38,46.36
216.49,110.24
126.04,24.57
493.214,330
39.46,7.85
157.89,115.3
59.39,45.55
99.36,38.9
836.3,434.2
340.49,212.68
36.09,11.55
80.25,21.98
442.82,215.35
603.9,423.89
80.546,43.89
162.4,35.4
623.72,417.28
624.39,396.44
154.025,61.84
216.485,106
731.3,438.3
1045.71,804.64
117.74,53.99
84.15,36.29
71.63,1.1
358.38,210.06
275.29,93.09
211.78,111.24
335.26,231.4
786.64,469.53
425.37,262.56
140.47,105.4
554.99,405.73
363.1,208
149.54,93.74
77.21,54.76
1084.44,636.3
102.39,26.8
86.87,47.13
173.93,136.41
587.2,400.04
261.19,189.09
130.79,67.1
545.45,358.6
219.79,129.5
242.72,99.56
163.72,103.36
665.69,500.44
155.55,75.97
89.04,26.09
14.31,8.52
31.43,22.2
224.919,127.96
157.93,76.77
225.7,170
18.08,8.65
341.43,206.92
752.604,513.86
321.41,200.91
114.97,34.96
147.33,92.62
186.19,119.69
351.72,234
234.99,177.98
709.71,390.46
56.96,25.55
47.7,22.22
76.51,33.84
119.77,42.5
694.71,485.32
201.59,63.14
91.4,26.4
39.19,4.17
788.68,550
296.22,236.09
173.97,39.46
348.84,134.81
29.93,21.09
798.96,476.24
626.13,416.3
23.2,1.69
75.7,11.7
30.45,5.97
609.02,484.03
76.17,41.11
1017,714
25.56,7.88
563.75,421.14
1025.466,691.28
746.92,530.53
825.536,532.96
361.34,144.01
129.154,35.54
481.74,305.04
260.1,133.09
161.77,68
232.33,96.3
156.83,103.14
94.8,61.6
68.57,16.7
68.57,16.7
159.291,116.89
1063.16,648.16
160.26,83.45
229.93,70.35
241.99,140.29
484.63,341.02
193.97,94
75.51,14.15
205.28,116.38
810.4,462.5
59.52,41.13
1004.56,469.7
13.64,0.63
1108.56,804.2
19.5,14.15
167.71,51.11
167.74,51.11
99.97,60.28
97.54,43.3
1123.79,771.4
524.02,315
440.7,223
176.51,110.02
117.76,37.55
149.23,78.57
47.88,21.95
209.64,92.1
161.85,82.6
180.27,161.25
96.41,73.19
1215.44,806.43
75.99,35.03
85.45,36.32
30.85,6
68.19,40.5
939.89,647.88
219.38,139.1
62.694,29.09
31.72,17.6
128.18,78.9
712.17,430.88
39.03,19.23
196.11,71.1
855.9,435.87
219.08,70.31
252.273,81.03
113.04,48.04
66.817,45.43
147.88,57.23
136.15,90.44
136.3,72.1
170.76,90.72
171.63,97.34
48.13,7.12
688.51,427.3
1518.59,895.24
829.69,537.36
456.07,245.45
210.77,95.17
527.07,343.94
183.28,36.95
84.87,51.65
178.84,84.89
100.73,49.19
415.25,262.61
441.81,293
269.99,119.6
586.76,332.3
149.28,54.77
127.73,73.4
26.42,9
959.3,664.3
314.7,153.42
543.113,291.6
55.45,23.21
200.2,116.38
68.28,33.12
60.72,28.33
269.96,121.86
133.432,88.761
376.14,236.29
169.87,48.41
171.685,54.46
150.82,92.8
216.64,46.93
34.704,13.89
114.955,84.938
1.77,0.45
177.24,94.66
691.25,283.24
288.38,119.28
151.12,94.3
359.12,182.53
226.8,81.8
82.39,29.79
877.24,715.92
609.84,465.71
74.95,16.55
19.148,18.11
146.43,74.8
886.68,690.11
149,47
698.489,397.96
113.86,57.12
126.64,62.06
392.62,199.85
309.2,53.24
1341.51,960.5
216.2,115.9
549.37,330.55
22.18,3.1
236.41,104.32
2781.5,2021
964.76,596.7
467.46,190.16
136.84,90.42
23.31,10.72
139.35,76.05
709.82,413.2
318,180.6
43.88,10.41
17.03,0.92
252.91,162.35
167.22,53.5
59.94,19.9
377.91,236.59
329.397,222.44
77.71,29.63
414.204,275.41
142.84,88.92
89.33,24.86
231.41,87.92
161.5,77.92
37.16,19.04
67.733,26.7
207.04,103.01
177.511,92.76
97.01,43
33.47,0.02
101.76,48.5
